ID,HV,C.al,C.co,C.cr,C.cu,C.fe,C.ni
25,170,0.056603774,0,0.188679245,0.188679245,0.188679245,0.377358491
60,380,0.2,0.266666667,0,0,0.266666667,0.266666667
155,775,0.4,0.2,0.2,0,0.2,0
88,486,0.208333333,0,0.208333333,0.208333333,0.208333333,0.166666667
2,118,0.024390244,0.243902439,0.243902439,0,0.243902439,0.243902439
75,459,0.13,0,0.28,0.22,0.06,0.31
125,587,0.225,0.225,0.225,0,0.1,0.225
21,162,0.038461538,0,0.192307692,0.192307692,0.192307692,0.384615385
16,157,0,0.166666667,0.166666667,0.166666667,0.333333333,0.166666667
51,315,0.137931034,0,0.172413793,0.172413793,0.172413793,0.344827586
87,483,0.12,0,0.31,0.2,0.05,0.32
70,438,0.2375,0.2375,0.05,0,0.2375,0.2375
55,358,0.166666667,0.166666667,0.166666667,0.083333333,0.166666667,0.25
112,550,0.242424242,0,0.151515152,0.151515152,0.151515152,0.303030303
110,546,0.2,0.2,0.1,0.1,0.2,0.2
146,701,0.428571429,0.214285714,0.071428571,0.071428571,0.071428571,0.142857143
152,740,0.428571429,0.142857143,0.142857143,0,0.142857143,0.142857143
74,454,0.1,0,0.35,0.26,0.05,0.24
71,441,0.1,0,0.35,0.24,0.05,0.26
92,503,0.181818182,0.181818182,0.181818182,0,0.181818182,0.272727273
64,392,0.166666667,0,0.166666667,0.166666667,0.166666667,0.333333333
93,510,0.230769231,0.153846154,0.153846154,0.153846154,0.153846154,0.153846154
129,602,0.25,0.166666667,0.166666667,0.083333333,0.166666667,0.166666667
117,558,0.21257485,0.21257485,0.21257485,0,0.149700599,0.21257485
18,158,0,0.225,0.1,0.225,0.225,0.225
97,516,0.2,0.2,0.2,0,0.2,0.2
19,158,0,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333
145,695,0.200400802,0.266533066,0.266533066,0,0.266533066,0
98,521,0.193548387,0,0.161290323,0.161290323,0.161290323,0.322580645
118,567,0.285714286,0,0.142857143,0.142857143,0.142857143,0.285714286
11,149,0.069767442,0,0.23255814,0,0.23255814,0.465116279
41,242,0.142857143,0.142857143,0.142857143,0,0.142857143,0.428571429
46,280,0.08,0.17,0.17,0.08,0.17,0.33
76,469,0.12,0,0.31,0.21,0.05,0.31
14,154,0,0.25,0,0.25,0.25,0.25
4,127,0.090909091,0.227272727,0.227272727,0,0.227272727,0.227272727
127,593,0.333333333,0,0.133333333,0.133333333,0.133333333,0.266666667
12,150,0,0.1,0.225,0.225,0.225,0.225
95,510,0.166666667,0.166666667,0.166666667,0,0.333333333,0.166666667
27,170,0,0.283358321,0.283358321,0,0.283358321,0.149925037
147,702,0.461538462,0.153846154,0.076923077,0.076923077,0.153846154,0.076923077
72,450,0.117647059,0,0.294117647,0,0.441176471,0.147058824
40,238,0.090909091,0,0.181818182,0.181818182,0.181818182,0.363636364
85,479,0.230769231,0.192307692,0.192307692,0,0.192307692,0.192307692
53,338,0.14893617,0.212765957,0.212765957,0,0.212765957,0.212765957
69,430,0.25,0.25,0,0,0.25,0.25
124,586,0.2,0.2,0.2,0.1,0.1,0.2
32,182,0,0.2375,0.2375,0.2375,0.05,0.2375
65,408,0.192307692,0,0.192307692,0.192307692,0.192307692,0.230769231
7,139,0,0.25,0.25,0,0.25,0.25
103,536,0.2,0.2,0,0.2,0.2,0.2
42,249,0.166666667,0.333333333,0,0.166666667,0.166666667,0.166666667
134,615,0.2375,0.2375,0.2375,0,0.2375,0.05
111,548,0.225,0.225,0.225,0,0.225,0.1
114,551,0.2,0.1,0.2,0.1,0.2,0.2
89,487,0.238095238,0.19047619,0.19047619,0,0.19047619,0.19047619
142,665,0.2375,0.2375,0.2375,0,0.05,0.2375
138,639,0.222222222,0.222222222,0.222222222,0.111111111,0.222222222,0
122,580,0.23,0.15,0.23,0.08,0.15,0.16
139,651,0.333333333,0,0.166666667,0.166666667,0.166666667,0.166666667
126,591,0.428571429,0.142857143,0.071428571,0.071428571,0.071428571,0.214285714
148,712,0.25,0.25,0.25,0,0,0.25
61,382,0.111111111,0,0.222222222,0.222222222,0.222222222,0.222222222
58,370,0.185185185,0,0.185185185,0.185185185,0.185185185,0.259259259
8,140,0,0.266533066,0.266533066,0,0.266533066,0.200400802
94,510,0.21257485,0.21257485,0.149700599,0,0.21257485,0.21257485
121,576,0.285714286,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143
66,415,0.2,0.2,0.2,0.2,0,0.2
105,538,0.179487179,0.205128205,0.205128205,0,0.205128205,0.205128205
1,110,0.058823529,0.235294118,0.235294118,0,0.235294118,0.235294118
91,495,0.11,0,0.29,0.29,0.05,0.26
50,310,0.153846154,0.153846154,0.153846154,0.076923077,0.153846154,0.307692308
22,166,0.142857143,0.428571429,0,0.142857143,0.142857143,0.142857143
5,131,0.085714286,0.228571429,0.228571429,0,0.228571429,0.228571429
109,546,0.230769231,0,0.153846154,0.153846154,0.153846154,0.307692308
120,576,0.305555556,0,0.138888889,0.138888889,0.138888889,0.277777778
108,545,0.222222222,0.111111111,0,0.222222222,0.222222222,0.222222222
132,607,0.153846154,0.153846154,0.307692308,0.076923077,0.153846154,0.153846154
136,620,0.1,0.3,0.3,0,0.3,0
107,544,0.264705882,0,0.147058824,0.147058824,0.147058824,0.294117647
113,550,0.2375,0.05,0.2375,0,0.2375,0.2375
131,604,0.2,0.2,0.2,0.1,0.2,0.1
